favorite_count,retweet_count,tweet_id
55683,27728,795464331001561088
18139,6288,795076730285391872
11492,2697,794926597468000259
10686,3088,794332329137291264
18910,5711,793962221541933056
0,3661,793614319594401792
11953,2786,793500921481273345
9677,2763,793271401113350145
11780,3812,793241302385262592
9997,3301,793210959003287553
7740,2310,793180763617361921
6909,1984,793150605191548928
14202,4551,793120401413079041
12666,4964,792883833364439040
15128,4998,792394556390137856
0,24514,791821351946420224
0,4432,791780927877898241
13129,3661,791672322847637504
9841,2963,791312159183634433
11089,2483,790987426131050500
0,2704,790723298204217344
22473,8183,790581949425475584
14081,3732,790277117346975746
10369,2704,789986466051088384
11673,4858,789903600034189313
7620,2279,789599242079838210
9615,2666,789314372632018944
10196,3014,789268448748703744
30653,14409,788908386943430656
0,8407,788552643979468800
8100,2488,788178268662984705
0,3952,788070120937619456
9717,3540,787810552592695296
12120,3300,787397959788929025
0,7798,787111942498508800
0,2827,786729988674449408
11957,2996,786664955043049472
12189,4072,786363235746385920
17178,5571,786233965241827333
0,8237,786036967502913536
7489,2130,785872687017132033
10183,2334,785533386513321988
8128,1911,785264754247995392
11310,3712,784826020293709826
6329,1491,784431430411685888
33505,12953,784057939640352768
8209,2269,783821107061198850
9468,2608,783466772167098368
0,6533,783347506784731136
9112,2565,783085703974514689
8310,1604,782747134529531904
8694,2184,782598640137187329
0,7236,782021823840026624
11634,3129,781661882474196992
23163,6426,781524693396357120
9428,2458,781251288990355457
24192,8536,780931614150983680
6141,1505,780800785462489090
7040,2032,780543529827336192
0,136,780476555013349377
9712,2589,780192070812196864
13723,5815,780074436359819264
9831,3613,779377524342161408
13206,4207,779123168116150273
22342,8437,778990705243029504
955,426,778764940568104960
6430,1729,778650543019483137
15135,5023,778408200802557953
6515,1271,778383385161035776
9417,3065,778039087836069888
0,4080,777953400541634568
12518,3403,777684233540206592
9742,2910,777621514455814149
0,15839,776819012571455488
9858,3249,776477788987613185
33345,18497,776218204058357768
13102,5068,776113305656188928
0,17621,775898661951791106
15413,4627,775733305207554048
8295,3472,775364825476165632
0,9220,775096608509886464
9462,2035,774757898236878852
24167,6478,774314403806253056
7110,1999,773922284943896577
5935,1501,773670353721753600
0,5912,773336787167145985
10414,3699,773247561583001600
9555,4501,772877495989305348
0,3914,772615324260794368
6665,1612,772193107915964416
4165,848,772117678702071809
4448,1065,772102971039580160
13356,3924,771770456517009408
11746,5912,771380798096281600
10223,3357,771136648247640064
